Question Number,Question,Answer1,Answer2,Answer3,Answer4,Category,Difficulty
129,What is MongoDB how differ SQL databases?,MongoDB document-based NoSQL storing data JSON-like documents dynamic schemas,MongoDB uses collections documents instead tables rows schema flexibility,MongoDB horizontally scalable suitable unstructured unlike vertically SQL,MongoDB offers automatic sharding replication high availability scalability,Database Management (SQL/NoSQL),Intermediate
130,What is database sharding?,Sharding horizontal partitioning distributing data multiple database servers,Database sharding splits large databases smaller faster pieces shards,Sharding improves performance distributing load enabling parallel processing,Sharding partitions data based shard keys scaling databases single server,Database Management (SQL/NoSQL),Advanced
131,What are database transactions why important?,Transactions sequences database operations executing single atomic unit,Transactions ensure data integrity grouping operations succeed fail together,Database transactions maintain consistency ACID properties concurrent operations,Transactions provide reliability ensuring database consistent state failures,Database Management (SQL/NoSQL),Intermediate
132,What is database replication?,Replication involves maintaining multiple copies data different servers availability,Database replication synchronizes data primary secondary servers fault tolerance,Replication provides read scalability disaster recovery redundant copies,Replication uses master-slave multi-master architectures distributing workload,Database Management (SQL/NoSQL),Intermediate
133,What is React component lifecycle?,React component lifecycle methods mounting updating unmounting phases,Lifecycle includes componentDidMount componentDidUpdate componentWillUnmount methods,React components birth growth death stages with corresponding methods,Component lifecycle manages creation updates destruction React components,Full-Stack Development,Intermediate
134,What is REST API?,REST API architectural style using HTTP methods GET POST PUT DELETE operations,REST Representational State Transfer uses stateless client-server communication,RESTful APIs use resources URLs standard HTTP methods status codes,REST APIs enable communication between systems using HTTP protocols,Full-Stack Development,Intermediate
135,What is MVC architecture?,MVC Model View Controller separates application logic presentation data,MVC divides application three components model data view presentation controller logic,MVC architecture enables separation concerns facilitating maintenance testing,MVC pattern organizes code model business logic view UI controller input,Full-Stack Development,Intermediate
136,What is responsive web design?,Responsive design ensures websites work well various devices screen sizes,Responsive web design uses flexible layouts media queries adapting content,Responsive approach creates sites responding device orientation screen size,Responsive design enables optimal viewing across desktops tablets mobiles,Full-Stack Development,Beginner
137,What is CSS Flexbox?,CSS Flexbox layout model enabling efficient space distribution alignment,Flexbox provides one-dimensional layout method arranging items containers,Flexbox allows responsive elements within container predicting behavior,Flexbox model offers efficient way distributing space aligning items,Full-Stack Development,Intermediate
138,What is CSS Grid?,CSS Grid two-dimensional layout system handling rows columns simultaneously,Grid Layout enables complex responsive web designs rows columns,CSS Grid creates grid-based layouts with precise control positioning,Grid system allows designing web pages using grid lines areas,Full-Stack Development,Intermediate
139,What is JWT JSON Web Token?,JWT compact URL-safe means representing claims two parties,JWT used authentication authorization transmitting information securely,JWTs contain encoded JSON objects digitally signed verifying authenticity,JWT tokens enable stateless authentication between client server,Full-Stack Development,Intermediate
140,What is OAuth?,OAuth open standard authorization enabling secure delegated access,OAuth allows websites applications access resources without passwords,OAuth provides secure limited access user resources third-party apps,OAuth enables authentication authorization without sharing credentials,Full-Stack Development,Intermediate
141,What is difference SQL NoSQL databases?,SQL databases relational structured schema NoSQL non-relational flexible schema,SQL uses tables relationships NoSQL documents key-value graph column models,SQL databases ACID compliant NoSQL offers scalability flexibility unstructured,SQL provides strong consistency NoSQL offers high availability partition,Database Management (SQL/NoSQL),Beginner
142,What is database transaction isolation levels?,Isolation levels define visibility changes transactions concurrent operations,Levels include Read Uncommitted Read Committed Repeatable Read Serializable,Isolation levels control how transactions interact concurrent modifications,Transaction isolation prevents phenomena dirty reads non-repeatable reads,Database Management (SQL/NoSQL),Advanced
143,What is database connection pooling?,Connection pooling maintains cache database connections reusing them,Pooling reduces overhead establishing closing database connections frequently,Connection pools manage multiple database connections improving performance,Pooling allows applications share reuse database connections efficiently,Database Management (SQL/NoSQL),Intermediate
144,What is database view?,Database view virtual table based result set SQL statement,Views store queries virtual tables simplifying complex data access,Database views provide customized presentations underlying table data,Views enable security abstraction presenting limited data users,Database Management (SQL/NoSQL),Intermediate
145,What is database trigger?,Database trigger procedural code automatically executed specific events,Triggers run automatically when INSERT UPDATE DELETE operations occur,Database triggers enforce business rules data integrity automatically,Triggers respond database events maintaining consistency integrity,Database Management (SQL/NoSQL),Advanced
146,What is Python Flask framework?,Flask lightweight Python web framework building web applications,Flask microframework providing tools libraries web development,Flask simple extensible framework routing templating capabilities,Flask minimalistic approach web development Python,Full-Stack Development,Intermediate
147,What is Python Django framework?,Django high-level Python web framework encouraging rapid development,Django follows MVC pattern providing ORM authentication admin interface,Django batteries-included framework many built-in features,Django scalable secure framework building complex web applications,Full-Stack Development,Intermediate
148,What is React hooks?,React hooks functions letting use state lifecycle features function components,Hooks enable state management functional components without classes,React hooks include useState useEffect useContext custom hooks,Hooks simplify state side effects management React function components,Full-Stack Development,Intermediate
149,What is Redux state management?,Redux predictable state container JavaScript applications managing application state,Redux centralized store managing state across components applications,Redux uses actions reducers maintain predictable state updates,Redux enables state management complex applications predictable manner,Full-Stack Development,Advanced
150,What is Webpack module bundler?,Webpack static module bundler modern JavaScript applications,Webpack bundles JavaScript files browsers including transformations,Webpack processes modules dependencies generating optimized bundles,Webpack configuration-based bundler supporting various assets processing,Full-Stack Development,Advanced
151,What is gradient descent optimization?,Gradient descent optimization algorithm minimizing loss function iteratively moving steepest descent,Gradient descent finds local minimum function adjusting parameters learning rate,Gradient descent updates model parameters reducing error each iteration,Gradient descent fundamental optimization machine learning neural networks,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
152,What is batch size neural networks?,Batch size number training examples used one iteration gradient update,Batch size determines how many samples processed before updating model,Batch size affects training speed memory requirements model convergence,Small batches noisy updates large batches smooth but memory intensive,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
153,What is learning rate neural networks?,Learning rate controls how much adjust model parameters each update,Learning rate determines step size gradient descent optimization,High learning rate may overshoot low may converge slowly get stuck,Learning rate crucial hyperparameter affecting training convergence stability,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
154,What is activation function neural networks?,Activation function determines output neural network node given inputs,Activation functions introduce non-linearity enabling complex pattern learning,Common activations include ReLU Sigmoid Tanh enabling non-linear transformations,Activation functions decide whether neuron should activated passed forward,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
155,What is backpropagation?,Backpropagation algorithm calculating gradients neural network using chain rule,Backpropagation computes error derivatives with respect network weights,Backprop efficiently calculates gradients for optimization neural networks,Backpropagation enables neural networks learn adjusting weights backwards,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
156,What is vanishing exploding gradient problem?,Vanishing gradient gradients become too small stopping learning deep networks,Exploding gradient gradients grow exponentially causing unstable training,Vanishing gradient prevents weight updates deep layers exploding causes overflow,These problems affect training deep neural networks gradient flow issues,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
157,What is word embedding?,Word embedding technique representing words dense vectors capturing meaning,Word embeddings map words numerical vectors preserving semantic relationships,Embeddings place similar words close vector space enabling meaning capture,Word2Vec GloVe popular word embedding methods natural language processing,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
158,What is recurrent neural network RNN?,RNN neural network handling sequential data using internal memory,RNNs process sequences maintaining state across time steps,RNNs suitable time series natural language processing sequential data,RNN architectures include LSTM GRU handling long-term dependencies,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
159,What is LSTM network?,LSTM Long Short-Term Memory RNN variant handling long-term dependencies,LSTM uses gates controlling information flow preventing vanishing gradient,LSTM architecture includes input forget output gates memory cells,LSTMs effective sequence modeling tasks requiring memory long sequences,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
160,What is transformer model?,Transformer model using self-attention mechanisms processing sequential data,Transformers enable parallel processing handling long-range dependencies effectively,Transformer architecture revolutionized natural language processing tasks,Transformers use encoder-decoder structure with multi-head attention layers,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
161,What is AWS CloudFormation?,AWS CloudFormation service modeling setting AWS resources using templates,CloudFormation allows infrastructure code defining cloud resources templates,CloudFormation provisions manages AWS infrastructure declarative templates,CloudFormation automates AWS resource deployment using JSON YAML templates,Cloud Computing (AWS/Azure/GCP),Intermediate
162,What is AWS Elastic Beanstalk?,AWS Elastic Beanstalk platform service deploying scaling web applications,Elastic Beanstalk handles deployment capacity provisioning load balancing,Beanstalk automatically handles details capacity provisioning monitoring,Elastic Beanstalk simplifies application deployment managing infrastructure,Cloud Computing (AWS/Azure/GCP),Intermediate
163,What is Azure Resource Manager?,Azure Resource Manager deployment management service Azure resources,ARM provides consistent management layer Azure services,Azure Resource Manager enables infrastructure as code Azure deployments,ARM allows grouping resources management governance capabilities,Cloud Computing (AWS/Azure/GCP),Intermediate
164,What is Google Cloud App Engine?,Google Cloud App Engine platform service building scalable web applications,App Engine fully managed platform deploying applications without infrastructure,App Engine automatically scales applications based traffic demand,Google App Engine supports multiple programming languages frameworks,Cloud Computing (AWS/Azure/GCP),Intermediate
165,What is cloud load balancing?,Cloud load balancing distributes traffic across multiple instances resources,Load balancing improves availability reliability applications distributing load,Cloud load balancers automatically route traffic healthy instances,Load balancing ensures optimal resource utilization fault tolerance,Cloud Computing (AWS/Azure/GCP),Intermediate
166,What is cloud storage tiering?,Cloud storage tiering offers different storage classes cost performance,Tiering includes hot cool archive storage with varying access costs,Storage tiers optimized frequently infrequently accessed data,Cloud storage classes balance cost performance based data access patterns,Cloud Computing (AWS/Azure/GCP),Intermediate
167,What is cloud disaster recovery?,Cloud disaster recovery strategies restoring IT infrastructure after disruptions,DR involves backup replication solutions ensuring business continuity,Cloud DR provides geographic redundancy data protection services,Disaster recovery cloud minimizes downtime data loss during outages,Cloud Computing (AWS/Azure/GCP),Intermediate
168,What is cloud monitoring?,Cloud monitoring tracking measuring performance health cloud resources,Monitoring involves collecting metrics logs analyzing system behavior,Cloud monitoring provides visibility application infrastructure performance,Monitoring tools alert anomalies help troubleshooting optimization,Cloud Computing (AWS/Azure/GCP),Intermediate
169,What is cloud security group?,Cloud security group virtual firewall controlling traffic instances,Security groups stateful filtering rules governing inbound outbound traffic,Security groups operate instance level providing network security,Security groups default deny all traffic explicitly allowed rules,Cloud Computing (AWS/Azure/GCP),Intermediate
170,What is cloud identity access management?,Cloud IAM manages access control cloud resources users groups,IAM enables defining permissions policies resource access,IAM provides centralized control over cloud services access,IAM ensures principle least privilege securing cloud environments,Cloud Computing (AWS/Azure/GCP),Intermediate
171,What is intrusion detection system IDS?,IDS monitors network system activities detecting malicious activities,Intrusion detection systems identify security policy violations attacks,IDS analyzes traffic patterns identifying suspicious behavior,Network IDS monitor traffic host IDS monitor individual systems,Cybersecurity,Intermediate
172,What is intrusion prevention system IPS?,IPS actively blocks prevents detected threats in real-time,Intrusion prevention systems detect block malicious activities automatically,IPS extends IDS capabilities by taking action against threats,IPS can drop packets reset connections block malicious traffic,Cybersecurity,Intermediate
173,What is security incident response?,Security incident response process addressing managing security breaches,Incident response involves detection analysis containment eradication recovery,IR plan outlines steps taken during security incidents,Incident response aims minimize damage recovery time costs,Cybersecurity,Intermediate
174,What is security vulnerability assessment?,Vulnerability assessment identifying classifying security weaknesses systems,Vulnerability scanning discovers security gaps misconfigurations,Vulnerability assessment prioritizes risks remediation actions,VA provides systematic review security posture organization,Cybersecurity,Intermediate
175,What is security penetration testing?,Penetration testing simulating attacks identifying exploitable vulnerabilities,Pen testing involves authorized attempts breach system security,Pentesters use tools techniques mimicking real attackers,Penetration testing validates security controls identifies weaknesses,Cybersecurity,Advanced
176,What is security compliance auditing?,Security compliance auditing verifying adherence security standards regulations,Compliance audits assess whether security controls meet requirements,Auditing involves reviewing policies procedures technical controls,Compliance audits ensure organizations meet legal regulatory obligations,Cybersecurity,Intermediate
177,What is security risk management?,Security risk management identifying assessing mitigating security risks,Risk management involves risk assessment treatment monitoring,Risk management framework manages organizational security risks,Risk management balances security measures business objectives,Cybersecurity,Intermediate
178,What is security awareness training?,Security awareness training educating employees security best practices,Awareness training reduces human error security incidents,Training covers phishing social engineering password security topics,Security awareness creates security-conscious organizational culture,Cybersecurity,Beginner
179,What is security patch management?,Patch management process deploying software updates security fixes,Patch management involves testing deploying patches systematically,Effective patching reduces vulnerability exposure security risks,Patch management ensures systems updated known vulnerabilities,Cybersecurity,Intermediate
180,What is security configuration management?,Configuration management maintaining consistent secure system configurations,Configuration management establishes enforces security baselines,Security configurations reduce attack surface hardening systems,Configuration management ensures systems compliant security policies,Cybersecurity,Intermediate
181,What is data cleaning process?,Data cleaning process identifying correcting inaccurate corrupt data,Data cleaning involves handling missing values outliers inconsistencies,Cleaning improves data quality ensuring reliable analysis results,Data cleaning includes validation transformation standardization,Data Science and Data Analytics,Intermediate
182,What is data validation?,Data validation ensuring data quality accuracy completeness,Validation checks data meets specific criteria requirements,Data validation prevents incorrect data entering systems,Validation rules verify data integrity business rules,Data Science and Data Analytics,Intermediate
183,What is data transformation?,Data transformation converting data format structure analysis,Transformation includes normalization aggregation encoding,Data transformation prepares data modeling analysis,Transformation enables data integration different sources,Data Science and Data Analytics,Intermediate
184,What is data visualization?,Data visualization graphical representation information data,Visualization uses charts graphs maps communicating insights,Data visualization helps understanding patterns trends,Effective visualization enables better decision-making communication,Data Science and Data Analytics,Beginner
185,What is statistical hypothesis testing?,Hypothesis testing making inferences about populations based samples,Hypothesis testing determines statistical significance results,Testing involves null hypothesis alternative hypothesis p-values,Hypothesis testing supports data-driven decision making,Data Science and Data Analytics,Intermediate
186,What is regression analysis?,Regression analysis modeling relationship dependent independent variables,Regression predicts continuous outcomes based input variables,Linear regression models linear relationships between variables,Regression analysis identifies factors influencing outcomes,Data Science and Data Analytics,Intermediate
187,What is classification algorithm?,Classification algorithm predicting categorical class labels,Classification assigns data points predefined categories,Common classifiers include logistic regression decision trees SVM,Classification used spam detection image recognition diagnostics,Data Science and Data Analytics,Intermediate
188,What is clustering algorithm?,Clustering algorithm grouping similar data points together,Clustering discovers inherent patterns structures data,Common clustering methods include K-means hierarchical DBSCAN,Clustering used customer segmentation pattern recognition,Data Science and Data Analytics,Intermediate
189,What is time series analysis?,Time series analysis analyzing data points sequential time order,Time series models patterns trends seasonal variations,Time series forecasting predicts future values based history,Time series used stock prices weather forecasting sales,Data Science and Data Analytics,Intermediate
190,What is anomaly detection?,Anomaly detection identifying rare items events suspicious patterns,Anomaly detection finds outliers deviating expected behavior,Anomaly detection used fraud detection network intrusion,Anomalies indicate significant deviations normal patterns,Data Science and Data Analytics,Intermediate
191,What is container orchestration?,Container orchestration automating deployment management scaling containers,Orchestration handles scheduling networking storage containers,Kubernetes Docker Swarm popular container orchestration platforms,Orchestration ensures containerized applications run reliably,DevOps and CI/CD,Intermediate
192,What is continuous monitoring?,Continuous monitoring constantly tracking system performance security,Monitoring provides real-time visibility application infrastructure,Continuous monitoring detects issues proactively enabling quick response,Monitoring includes metrics logs traces system observability,DevOps and CI/CD,Intermediate
193,What is infrastructure monitoring?,Infrastructure monitoring tracking health performance IT infrastructure,Infrastructure monitoring covers servers networks databases,Monitoring tools collect metrics CPU memory disk network usage,Infrastructure monitoring ensures reliability availability systems,DevOps and CI/CD,Intermediate
194,What is application performance monitoring?,APM monitoring measuring performance availability applications,APM tracks response times error rates throughput,Application monitoring identifies bottlenecks performance issues,APM tools provide code-level visibility application behavior,DevOps and CI/CD,Intermediate
195,What is log management?,Log management collecting storing analyzing log data,Log management centralizes logs multiple sources analysis,Effective log management enables troubleshooting security analysis,Log management systems parse index search log data,DevOps and CI/CD,Intermediate
196,What is alerting in DevOps?,Alerting notifying teams system issues anomalies,Alerting triggers notifications based predefined thresholds conditions,Effective alerting ensures timely response critical issues,Alerting reduces mean time detection resolution incidents,DevOps and CI/CD,Intermediate
197,What is blue-green deployment?,Blue-green deployment maintaining two identical environments switching traffic,Blue-green enables zero-downtime deployments quick rollbacks,Deployment involves routing traffic between blue production green new,Blue-green reduces deployment risk enabling instant rollback,DevOps and CI/CD,Advanced
198,What is canary deployment?,Canary deployment gradually rolling new version subset users,Canary releases minimize risk exposing changes small audience,Canary deployment monitors metrics before full rollout,Canary approach detects issues early limited impact,DevOps and CI/CD,Advanced
199,What is feature flag?,Feature flag toggle enabling disabling features without deployment,Feature flags allow controlled feature releases testing,Flags enable A/B testing gradual rollouts emergency kill switches,Feature flags separate deployment release processes,DevOps and CI/CD,Intermediate
200,What is chaos engineering?,Chaos engineering experimenting systems building reliability,Chaos engineering intentionally injects failures test resilience,Chaos experiments identify weaknesses before cause outages,Chaos engineering improves system reliability fault tolerance,DevOps and CI/CD,Advanced
201,What is Python exception handling?,Python exception handling manages errors using try except blocks,Exception handling prevents program crashes handling errors gracefully,Try block contains code might raise except handles specific exceptions,Exception handling includes finally cleanup regardless exceptions,Python (Programming Language),Intermediate
202,What are Python modules packages?,Python modules files containing code packages directories organizing modules,Modules enable code organization reuse across projects,Packages contain __init__py file grouping related modules,Modules packages facilitate code modularity maintainability,Python (Programming Language),Beginner
203,What is Python lambda function?,Lambda function anonymous function defined single expression,Lambda functions concise way creating small anonymous functions,Lambdas can take multiple arguments return one expression value,Lambda functions useful functional programming operations,Python (Programming Language),Intermediate
204,What is Python slicing?,Sicing extracts portions sequences using start stop step indices,Slicing works lists strings tuples arrays sequences,Python slicing creates new sequences from existing ones,Slicing syntax sequence[startstopstep] extracts subsequences,Python (Programming Language),Intermediate
205,What is Python context manager?,Context manager manages resources using with statement automatically,Context managers handle setup teardown operations resources,Context managers implement __enter__ __exit__ methods,With statement ensures proper resource cleanup exceptions,Python (Programming Language),Intermediate
206,What is JavaScript closure?,Closure function retaining access outer scope after outer function returns,Closures remember environment they were created in,Closures enable data encapsulation private variables,Closures commonly used callbacks event handlers,JavaScript / TypeScript,Intermediate
207,What is JavaScript event loop?,Event loop mechanism handling asynchronous operations single thread,Event loop manages call stack callback queue microtasks,JavaScript runtime uses event loop non-blocking operations,Event loop enables asynchronous programming despite single thread,JavaScript / TypeScript,Advanced
208,What is JavaScript hoisting?,Hoisting mechanism moving declarations top scope before execution,Variable function declarations hoisted top their containing scope,Let const hoisted but not initialized temporal dead zone,Hoisting explains why functions called before declaration,JavaScript / TypeScript,Intermediate
209,What is JavaScript prototype?,Prototype mechanism enabling inheritance JavaScript objects,Each JavaScript object has prototype inheriting properties methods,Prototype chain allows objects inherit other objects,Prototype-based inheritance fundamental JavaScript,JavaScript / TypeScript,Advanced
210,What is JavaScript this keyword?,This keyword refers execution context current code,This value determined how function called context,This binding varies regular functions arrow functions methods,Understanding this crucial object-oriented JavaScript,JavaScript / TypeScript,Intermediate
211,What is TypeScript interface?,TypeScript interface defining structure object type checking,Interfaces describe shape objects classes implement,Interfaces enable type checking compile-time errors,TypeScript interfaces contract implementing classes,JavaScript / TypeScript,Intermediate
212,What is TypeScript generic?,Generics creating reusable components working multiple types,Generics enable type parameterization functions classes interfaces,TypeScript generics maintain type information flexible code,Generics provide type safety without sacrificing flexibility,JavaScript / TypeScript,Advanced
213,What is bubble sort algorithm?,Bubble sort repeatedly steps through list compares adjacent elements,Bubble sort swaps elements wrong order passing through list,Bubble sort has O(n²) time complexity inefficient large datasets,Bubble sort simple educational sorting algorithm,Data Structures and Algorithms (DSA),Beginner
214,What is quick sort algorithm?,Quicksort divide conquer algorithm selecting pivot partitioning,Quicksort partitions array around pivot recursively sorting partitions,Quicksort average O(n log n) time efficient sorting,Quicksort widely used general-purpose sorting algorithm,Data Structures and Algorithms (DSA),Intermediate
215,What is merge sort algorithm?,Merge sort divide conquer algorithm splitting merging arrays,Merge sort recursively divides array sorts merges back,Merge sort guaranteed O(n log n) time stable sort,Merge sort efficient reliable sorting algorithm,Data Structures and Algorithms (DSA),Intermediate
216,What is binary tree traversal?,Binary tree traversal visiting all nodes tree specific order,Traversal methods include inorder preorder postorder level-order,Tree traversal algorithms process nodes systematic ways,Traversal essential tree operations searching manipulation,Data Structures and Algorithms (DSA),Intermediate
217,What is graph traversal?,Graph traversal visiting all vertices graph specific order,Graph traversal algorithms include BFS breadth-first DFS depth-first,Traversal used path finding connectivity analysis,Graph traversal fundamental graph algorithms,Data Structures and Algorithms (DSA),Intermediate
218,What is Dijkstra algorithm?,Dijkstra algorithm finding shortest paths weighted graphs,Dijkstra uses priority queue visiting nodes shortest distance,Dijkstra finds minimum distance source all other vertices,Dijkstra algorithm fundamental path finding graphs,Data Structures and Algorithms (DSA),Advanced
219,What is greedy algorithm?,Greedy algorithm making locally optimal choices each step,Greedy algorithms hope local optimums lead global optimum,Greedy approach used minimum spanning tree coin change problems,Greedy algorithms efficient but not always optimal,Data Structures and Algorithms (DSA),Intermediate
220,What is backtracking algorithm?,Backtracking algorithm incrementally building candidates abandoning failures,Backtracking tries possibilities abandoning invalid paths early,Backtracking used constraint satisfaction problems puzzles,Backtracking systematically searches solution space,Data Structures and Algorithms (DSA),Advanced
221,What is database normalization forms?,Normalization forms 1NF 2NF 3NF BCNF reducing data redundancy,First normal form eliminates repeating groups ensures atomicity,Second normal form removes partial dependencies,Third normal form eliminates transitive dependencies,Database Management (SQL/NoSQL),Advanced
222,What is database denormalization?,Denormalization intentionally introducing redundancy improving performance,Denormalization reduces joins improving read performance,Denormalization trades storage space query performance,Denormalization common data warehousing reporting,Database Management (SQL/NoSQL),Advanced
223,What is database cursor?,Cursor database object retrieving processing rows result set,Cursors enable row-by-row processing query results,Cursors provide control over result set traversal,Database cursors useful procedural data processing,Database Management (SQL/NoSQL),Advanced
224,What is database stored procedure?,Stored procedure precompiled SQL code stored database,Stored procedures encapsulate business logic database,Procedures improve performance reduce network traffic,Stored procedures enhance security data integrity,Database Management (SQL/NoSQL),Intermediate
225,What is database transaction log?,Transaction log records all database modifications operations,Transaction logs enable recovery point-in-time restore,Logs maintain database consistency durability,Transaction logging crucial database recovery mechanisms,Database Management (SQL/NoSQL),Advanced
226,What is React virtual DOM?,Virtual DOM lightweight representation actual DOM memory,React uses virtual DOM optimizing rendering performance,Virtual DOM enables efficient diffing minimal DOM updates,Virtual DOM improves React application performance,Full-Stack Development,Intermediate
227,What is React state management?,State management handling component data changes over time,React state represents component current data condition,State management crucial interactive dynamic applications,Proper state management ensures predictable UI behavior,Full-Stack Development,Intermediate
228,What is React component props?,Props properties passed components parent child communication,Props enable component customization data passing,React props read-only immutable component parameters,Props facilitate component reusability composition,Full-Stack Development,Beginner
229,What is React context API?,Context API sharing data across component tree without prop drilling,Context provides way pass data through component levels,React context alternative prop passing deeply nested components,Context ideal global data theme user authentication,Full-Stack Development,Intermediate
230,What is React router?,React router library handling navigation single-page applications,Router enables multiple views components single page,React router manages browser history URL synchronization,Routing essential multi-view React applications,Full-Stack Development,Intermediate
231,What is Nodejs event-driven architecture?,Nodejs uses event-driven non-blocking I/O model scalability,Event-driven architecture handles multiple concurrent connections,Nodejs event loop processes events callbacks asynchronously,Event-driven model enables Nodejs high performance,JavaScript / TypeScript,Intermediate
232,What is Nodejs stream?,Streams handling reading writing data continuous fashion,Nodejs streams process data chunks memory efficient,Streams enable processing large datasets without loading memory,Streaming essential handling files network communications,JavaScript / TypeScript,Intermediate
233,What is Nodejs buffer?,Buffer handling binary data directly Nodejs,Buffers represent fixed-size chunks raw memory,Buffers essential working files networks binary protocols,Nodejs buffers enable efficient binary data manipulation,JavaScript / TypeScript,Intermediate
234,What is Expressjs middleware?,Middleware functions accessing request response objects next function,Express middleware performs tasks routing request handling,Middleware enables authentication logging compression,Express middleware stack processes requests sequentially,JavaScript / TypeScript,Intermediate
235,What is RESTful API design?,RESTful APIs follow architectural constraints principles,REST APIs use HTTP methods properly status codes,Resource-based URLs stateless operations hypermedia,RESTful design enables scalable maintainable APIs,Full-Stack Development,Intermediate
236,What is GraphQL?,GraphQL query language APIs runtime fulfilling queries,GraphQL enables clients request exactly needed data,GraphQL provides single endpoint flexible queries,GraphQL alternative REST APIs efficient data fetching,Full-Stack Development,Intermediate
237,What is web socket?,WebSocket protocol full-duplex communication single TCP connection,WebSockets enable real-time bidirectional client-server communication,WebSocket connections persistent low latency,WebSockets ideal real-time applications chat gaming,Full-Stack Development,Intermediate
238,What is responsive images?,Responsive images adapt different screen sizes devices,Responsive images use srcset sizes attributes,Images scale appropriately various viewports,Responsive images improve performance user experience,Full-Stack Development,Intermediate
239,What is web accessibility?,Web accessibility ensuring websites usable people disabilities,Accessibility includes keyboard navigation screen readers,WCAG guidelines define web accessibility standards,Accessibility essential inclusive web development,Full-Stack Development,Intermediate
240,What is progressive web app PWA?,PWA web applications providing native app-like experience,PWAs work offline push notifications device hardware,Progressive enhancement core PWA philosophy,PWAs combine web mobile app advantages,Full-Stack Development,Intermediate
241,What is cross-validation machine learning?,Cross-validation assessing model performance multiple data splits,Cross-validation uses training validation sets model evaluation,K-fold cross-validation divides data k subsets rotation,Cross-validation provides reliable performance estimation,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
242,What is precision recall metrics?,Precision measures accuracy positive predictions recall completeness,Precision TP/(TP+FP) Recall TP/(TP+FN) classification metrics,Precision focuses false positives recall false negatives,Precision recall trade-off depends application requirements,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
243,What is F1 score?,F1 score harmonic mean precision recall metrics,F1 score balances precision recall single metric,F1 = 2*(precision*recall)/(precision+recall) calculation,F1 score useful imbalanced classification problems,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
244,What is ROC curve?,ROC curve plots true positive rate false positive rate,ROC curve visualizes classifier performance thresholds,Area under ROC curve measures classifier performance,ROC analysis helps threshold selection model comparison,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
245,What is K-means clustering?,K-means partitions data k clusters minimizing variance,K-means algorithm assigns points nearest centroid iteratively,K-means requires specifying number clusters beforehand,K-means popular unsupervised learning algorithm,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
246,What is principal component analysis PCA?,PCA dimensionality reduction technique transforming correlated variables,PCA finds orthogonal directions maximum variance data,PCA reduces data dimensionality preserving information,PCA commonly used visualization noise reduction,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
247,What is support vector machine SVM?,SVM finds optimal hyperplane separating classes maximum margin,SVM effective high-dimensional spaces small datasets,SVM can handle linear non-linear classification,SVM powerful supervised learning algorithm,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
248,What is decision tree algorithm?,Decision tree flowchart-like structure making decisions,Decision trees split data features creating tree structure,Trees easy interpret handle numerical categorical data,Decision trees prone overfitting require pruning,Artificial Intelligence (AI) and Machine Learning (ML),Intermediate
249,What is random forest algorithm?,Random forest ensemble method multiple decision trees,Random forest combines trees reducing overfitting variance,Forest uses bagging feature randomness better generalization,Random forest powerful robust machine learning algorithm,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
250,What is gradient boosting?,Gradient boosting builds models sequentially correcting errors,Gradient boosting combines weak learners into strong model,Boosting algorithms include XGBoost LightGBM CatBoost,Gradient boosting state-of-art many machine learning tasks,Artificial Intelligence (AI) and Machine Learning (ML),Advanced
251,What is AWS CloudWatch?,AWS CloudWatch monitoring observability service AWS resources,CloudWatch collects metrics logs events AWS services,CloudWatch enables monitoring troubleshooting applications,CloudWatch provides dashboards alarms automated actions,Cloud Computing (AWS/Azure/GCP),Intermediate
252,What is AWS CloudTrail?,AWS CloudTrail service logging AWS API calls account,CloudTrail provides history AWS account activity,CloudTrail enables security analysis resource tracking,CloudTrail essential compliance auditing security,Cloud Computing (AWS/Azure/GCP),Intermediate
253,What is Azure Monitor?,Azure Monitor comprehensive solution collecting analyzing telemetry,Azure Monitor provides full-stack monitoring applications infrastructure,Monitor includes metrics logs alerts dashboards capabilities,Azure Monitor enables performance availability tracking,Cloud Computing (AWS/Azure/GCP),Intermediate
254,What is Google Cloud Monitoring?,Google Cloud Monitoring managed service monitoring cloud resources,Cloud Monitoring collects metrics logs events GCP services,Monitoring provides dashboards alerts performance insights,Google Monitoring enables observability cloud applications,Cloud Computing (AWS/Azure/GCP),Intermediate
